Date,Holiday,Countries,Type,Description
01-01,New Year's Day,"Worldwide (incl. Germany · Austria · Switzerland · USA · Canada · Australia · UK · France · Italy · Spain · Japan · Russia · Brazil · Mexico · China · India · and most other countries)",National Holiday,Beginning of the new calendar year according to the Gregorian calendar; celebrated worldwide with fireworks and festivities
01-02,Berchtoldstag,Switzerland (certain cantons),Regional Holiday,Day of rest after New Year's in certain Swiss cantons; no nationwide public holiday
01-06,Epiphany / Three Kings' Day,"Germany (BY·BW·ST) · Austria · Spain · Italy · Greece · many Catholic and Orthodox countries",Religious Holiday,"Commemorates the arrival of the Three Wise Men at the birth of Jesus (Western) and the baptism of Jesus (Eastern/Orthodox); in Spain children receive gifts on this day instead of Christmas; in Italy the witch Befana brings gifts"
01-07,Orthodox & Coptic Christmas,"Russia · Serbia · Belarus · Bulgaria · Ethiopia · Egypt",Religious Holiday,Christmas according to the Julian calendar; celebrated by Orthodox and Coptic Christian communities worldwide
variabel (2nd Mon Jan),Coming-of-Age Day (成人の日 · Seijin no Hi),Japan,National Holiday,Celebration honoring young people who turned 20 in the preceding year; ceremonies held across the country
01-14,Makar Sankranti · Pongal,"India (nationwide · Tamil Nadu)",Religious Holiday,Hindu harvest festival marking the sun's transit into Capricorn; kite-flying traditions (Makar Sankranti) and four-day Tamil harvest festival with sun worship (Pongal in Tamil Nadu)
variabel (3rd Mon Jan),Martin Luther King Jr. Day,USA,National Holiday,Federal holiday honoring civil rights leader Martin Luther King Jr. and the movement he led
01-19,Timkat,Ethiopia,Religious Holiday,Ethiopian Epiphany – celebration of Jesus' baptism with colorful water processions; UNESCO Intangible Cultural Heritage
01-20,Inauguration Day,USA,Political Holiday,Swearing-in ceremony of the US President; takes place every four years on January 20
01-25,Burns Night,Scotland,Cultural Holiday,Commemoration of national poet Robert Burns with haggis suppers and poetry recitations; no public holiday
01-26,Australia Day · Republic Day,"Australia · India",National Holiday,"Australia Day: anniversary of the arrival of the first British fleet in Sydney in 1788; controversial among Aboriginal peoples · India Republic Day: anniversary of the Indian Constitution coming into force in 1950; grand military parade in New Delhi"
variabel (Jan/Feb),Lunar New Year,"China · Taiwan · Vietnam · South Korea · Tibet · Bhutan · Singapore · Malaysia",National Holiday,"Most important festival in East and Southeast Asia; date follows the lunar calendar; known as Chūnjié/Spring Festival (China), Tết (Vietnam), Seollal (South Korea), Losar (Tibet/Bhutan); celebrated with family reunions, fireworks, and dragon dances"
02-02,Candlemas (Lichtmess),"Germany · Austria · many Catholic countries",Religious Holiday,Presentation of Jesus at the Temple 40 days after Christmas; blessing of candles; no longer a public holiday in most regions
02-06,Waitangi Day,New Zealand,National Holiday,Anniversary of the Treaty of Waitangi in 1840 between the British Crown and the Māori chiefs
02-11,National Foundation Day (建国記念の日),Japan,National Holiday,Commemorates the legendary founding of Japan by Emperor Jimmu
02-14,Valentine's Day,Worldwide (commercial),Cultural Holiday,Day of lovers and romance; named after Saint Valentine of Terni; not a public holiday anywhere
variabel (Feb/Mar),Carnival / Mardi Gras,"Brazil · Germany · Austria · Switzerland · USA (New Orleans) · Colombia · Trinidad and Tobago · Italy (Venice) · Spain",Cultural Holiday,"Pre-Lenten festival of costumes, parades and music ending on Mardi Gras (Fat Tuesday); most famous celebrations in Rio de Janeiro, New Orleans, Venice and Cologne"
variabel (Feb/Mar),Ash Wednesday,"Germany · Austria · worldwide (Christian)",Religious Holiday,Beginning of the 40-day Lenten fasting period before Easter; ashes placed on foreheads; not a public holiday in most countries
03-01,Independence Movement Day (삼일절),South Korea,National Holiday,Commemorates the nationwide March 1st independence movement of 1919 against Japanese colonial rule
03-03,Doll Festival (雛祭り · Hinamatsuri),Japan,Cultural Holiday,Girls' Day – traditional Heian court dolls (hina-ningyo) are displayed; not a public holiday
03-08,International Women's Day,"Worldwide · Russia · Ukraine · Cuba · Vietnam (public holiday in these countries)",International Holiday,"Day for gender equality and women's rights; public holiday in Russia, Ukraine and several other countries; men give women flowers in Russia"
03-15,National Holiday,Hungary,National Holiday,Anniversary of the Hungarian Revolution and War of Independence of 1848 against Habsburg rule
03-17,St. Patrick's Day,"Ireland · worldwide Irish diaspora (USA · Australia · Canada · UK)",Religious/National Holiday,Feast day of Ireland's patron saint; global celebrations in Irish diaspora communities; green clothing and shamrocks are the symbols
03-19,St. Joseph's Day (Festa di San Giuseppe),"Italy (Sicily · Sardinia) · Spain (Valencia)",Religious Holiday,"Feast of Saint Joseph; also Father's Day in Italy; public holiday in some Italian regions; in Valencia, Spain, the Fallas festival culminates on this day"
03-20/21,Nowruz (نوروز),"Iran · Afghanistan · Azerbaijan · Kazakhstan · Uzbekistan · Tajikistan · Kyrgyzstan · Turkmenistan · Iraq (Kurdish regions) · Albania",Cultural/Religious Holiday,Persian New Year celebrated at the spring equinox; UNESCO Intangible Cultural Heritage; festivities last 13 days including family visits and traditional spring-cleaning
03-21,Human Rights Day,South Africa,National Holiday,Commemoration of the Sharpeville Massacre on March 21 1960 when police shot 69 peaceful protesters
03-25,National Independence Day,Greece,National Holiday,Anniversary of the beginning of the Greek War of Independence against the Ottoman Empire in 1821
variabel (Feb/Mar),Holi,"India · Nepal · worldwide Hindu communities",Religious Holiday,Hindu spring festival of colors; powdered colors are thrown in celebration of the victory of good over evil; date follows the lunar calendar
variabel (Feb/Mar),Mahashivaratri,"India · Nepal",Religious Holiday,Hindu festival honoring the god Shiva with fasting and all-night prayers
variabel (Feb/Mar),Purim,"Israel · Jewish communities worldwide",Religious Holiday,Jewish festival commemorating the salvation of the Jewish people in ancient Persia as told in the Book of Esther; costumes and festive meals
variabel,Ramadan (start),"Islamic countries worldwide",Religious Holiday,Beginning of the Islamic month of fasting from dawn to sunset; exact date varies annually by lunar calendar; not a public holiday in all Muslim-majority countries
04-01,April Fools' Day / Poisson d'Avril,Worldwide,Cultural Tradition,Day of jokes and pranks; known as Poisson d'Avril (April Fish) in France; not a public holiday
04-04,Qingming Festival (清明节),China · Taiwan,Cultural Holiday,Grave-sweeping festival – families visit and clean ancestors' graves; also a time for outdoor leisure; public holiday in China since 2008
variabel,Good Friday,"Germany · Austria · Switzerland · UK · Australia · Canada · Scandinavia · worldwide (Christian)",Religious Holiday,Commemoration of the crucifixion of Jesus Christ; public holiday in many Christian countries; not a federal holiday in the USA
variabel,Easter Sunday,"Worldwide (Christian)",Religious Holiday,Celebration of the resurrection of Jesus Christ; most important feast in the Christian liturgical year; date follows a lunar-solar calculation (first Sunday after first full moon after March 21)
variabel,Easter Monday,"Germany · Austria · Switzerland · UK · France · Netherlands · Australia · worldwide (Christian)",Religious Holiday,Second day of Easter; public holiday in many European and Commonwealth countries
variabel,Orthodox Easter (Pascha),"Russia · Greece · Serbia · Romania · Bulgaria · Ethiopia · worldwide (Orthodox Christian)",Religious Holiday,Easter celebration following the Julian calendar; usually falls on a different date from Western Easter; most important holiday in Orthodox countries
